	FSS XVIII		"-¥1,540"	3/1/2025
	Ministry for the Future		"-¥1,621"	3/1/2025
January 2025		$71.05	"¥1,619"	
	Swann’s Way		"-¥2,133"	1/1/2025
	"Nintendo SFC controller, Popful Mail"		"-¥6,248"	1/1/2025
	Monthly budget	$100.00	"¥10,000"	1/1/2025
	Patreon	-$14.00		1/1/2025
	Audible	-$14.95		1/1/2025
May 2025		$0.00	"-¥17,389"	
	Kobo — 5 books		"-¥13,712"	5/1/2025
	Kobo — Wealth of Wisdom		"-¥3,677"	5/1/2025
(blank)		$0.00	¥0	
	In the Shadow of Young Girls in Flower			
	The Genetic Book of the Dead			
	Design展			
	Félicité Thösz			
	MAGMA merch			
